name,capital,surface_area,gdp,gdp_per_capita,population,imports,exports,gdp_growth,life_expectancy_male,life_expectancy_female,average_life_expectancy
Antigua And Barbuda,Saint John's,442.0,1611.0,16727.0,98.0,568.0,37.0,7.4,75.7,77.9,76.80000000000001
Argentina,Buenos Aires,2780400.0,518475.0,11687.6,45196.0,49125.0,65114.0,-2.5,73.0,79.8,76.4
Australia,Canberra,7692060.0,1453871.0,58392.7,25500.0,221481.0,266377.0,2.0,81.2,85.2,83.2
Austria,Vienna,83871.0,455508.0,51230.3,9006.0,176596.0,171532.0,2.4,78.9,83.8,81.35
Bahamas,Nassau,13940.0,12424.0,32218.1,393.0,4087.0,494.0,1.6,71.5,75.9,73.7
Bahrain,Manama,771.0,37876.0,24133.5,1702.0,18680.0,14355.0,2.5,76.2,78.2,77.2
Barbados,Bridgetown,431.0,5087.0,17745.9,287.0,1618.0,462.0,-0.4,77.6,80.4,79.0
Belgium,Brussels,30528.0,543026.0,47293.0,11590.0,426489.0,445214.0,1.5,79.0,83.7,81.35
Brunei Darussalam,Bandar Seri Begawan,5765.0,13567.0,31627.2,438.0,5103.0,7039.0,0.1,74.5,76.9,75.7
Canada,Ottawa,9984670.0,1712562.0,46192.4,37742.0,453234.0,446148.0,1.9,80.2,84.2,82.2
Chile,Santiago,756102.0,298231.0,15923.4,19116.0,69591.0,69681.0,4.0,77.4,82.3,79.85
Costa Rica,San Josã,51100.0,60126.0,12026.5,5094.0,16106.0,11449.0,2.7,77.4,82.7,80.05000000000001
Croatia,Zagreb,56594.0,60991.0,14674.0,4105.0,28004.0,17063.0,2.7,75.0,81.4,78.2
Cyprus,Nicosia,9251.0,24963.0,28967.6,1207.0,9219.0,3528.0,4.1,78.6,82.8,80.69999999999999
Czech Republic,Prague,78868.0,245226.0,22992.1,10709.0,178552.0,198852.0,3.0,76.5,81.8,79.15
Denmark,Copenhagen,42921.0,355675.0,61833.7,5792.0,97196.0,109942.0,2.4,78.7,82.7,80.7
Equatorial Guinea,Malabo,28052.0,13324.0,10179.2,1403.0,3902.0,3939.0,-4.7,57.3,59.4,58.35
Estonia,Tallinn,45227.0,30747.0,23241.9,1326.0,18659.0,16811.0,4.8,74.0,82.5,78.25
Finland,Helsinki,338440.0,276878.0,50135.7,5541.0,73335.0,72802.0,1.7,78.8,84.5,81.65
France,Paris,551500.0,2778892.0,41358.1,65274.0,651164.0,569757.0,1.7,79.4,85.4,82.4
Germany,Berlin,357376.0,3949549.0,47513.7,83784.0,1240700.0,1493090.0,1.5,78.7,83.6,81.15
Greece,Athens,131957.0,218139.0,20731.2,10423.0,62198.0,37886.0,1.9,79.5,84.5,82.0
Grenada,Saint George's,345.0,1169.0,10485.9,112.0,470.0,32.0,4.1,70.1,75.0,72.55
Hungary,Budapest,93024.0,157883.0,16264.0,9660.0,116556.0,121995.0,5.1,73.0,80.1,76.55
Iceland,Reykjavik,103000.0,25882.0,76867.3,341.0,6579.0,5228.0,4.6,81.2,84.3,82.75
Ireland,Dublin,69797.0,382674.0,79414.6,4938.0,101473.0,170743.0,8.2,80.4,83.7,82.05000000000001
Israel,Jerusalem,22072.0,370588.0,44214.9,8656.0,76579.0,58488.0,3.4,81.0,84.3,82.65
Italy,Rome,302073.0,2084882.0,34388.5,60462.0,473562.0,532684.0,0.8,81.0,85.4,83.2
Japan,Tokyo,377930.0,4971323.0,39082.1,126476.0,720895.0,705640.0,0.8,81.3,87.5,84.4
"Korea, Republic Of",Seoul,100284.0,1720489.0,33621.9,51269.0,503263.0,542172.0,2.7,79.6,85.7,82.65
Kuwait,Kuwait City,17818.0,141698.0,34248.8,4271.0,40063.0,81282.0,1.2,74.6,76.4,75.5
Latvia,Riga,64573.0,34426.0,17851.6,1886.0,17768.0,14447.0,4.6,69.9,79.8,74.85
Lithuania,Vilnius,65286.0,53455.0,19082.5,2722.0,35612.0,33123.0,3.6,70.0,81.1,75.55
Luxembourg,Luxembourg,2586.0,70920.0,117369.5,626.0,23057.0,15433.0,3.1,79.8,84.2,82.0
Malaysia,Kuala Lumpur,330323.0,358579.0,11373.3,32366.0,204906.0,238089.0,4.7,74.0,78.1,76.05
Maldives,Male,300.0,5327.0,10330.6,540.0,2883.0,163.0,6.9,77.1,80.4,78.75
Malta,Valletta,315.0,14549.0,33122.8,442.0,8211.0,4143.0,6.6,80.4,84.1,82.25
Netherlands,Amsterdam,41542.0,914105.0,53583.1,17135.0,514513.0,577617.0,2.6,80.3,83.8,82.05
New Zealand,Wellington,268107.0,207921.0,43836.2,4822.0,42271.0,39540.0,2.8,80.3,83.8,82.05
Oman,Muscat,309500.0,92111.0,19072.8,5107.0,23383.0,38723.0,2.1,75.8,80.0,77.9
Palau,Melekeok,459.0,284.0,15859.4,22.0,169.0,8.0,1.7,68.1,77.8,72.94999999999999
Panama,Panama City,75320.0,65055.0,15575.1,4315.0,12836.0,713.0,3.7,75.1,81.5,78.3
Poland,Warsaw,312679.0,585661.0,15444.0,37847.0,246654.0,251865.0,5.1,74.5,82.4,78.45
Portugal,Lisbon,92226.0,240792.0,23477.7,10197.0,89929.0,67012.0,2.4,78.7,84.6,81.65
Qatar,Doha,11607.0,191362.0,68793.7,2881.0,29178.0,72935.0,1.5,78.9,81.8,80.35
Romania,Bucharest,238391.0,239552.0,12280.8,19238.0,96644.0,77299.0,4.0,72.4,79.3,75.85
Russian Federation,Moscow,17098246.0,1660514.0,11394.1,145934.0,247161.0,426720.0,2.3,66.8,77.5,72.15
Saint Lucia,Castries,539.0,1922.0,10566.0,184.0,598.0,55.0,0.9,74.7,77.4,76.05000000000001
Saudi Arabia,Riyadh,2206714.0,782483.0,23217.2,34814.0,136472.0,259208.0,2.2,73.7,76.5,75.1
Seychelles,Victoria,457.0,1590.0,16377.9,98.0,1438.0,824.0,7.9,69.8,77.3,73.55
Singapore,Singapore,719.0,361115.0,62720.9,5850.0,358975.0,390332.0,3.2,81.2,85.5,83.35
Slovakia,Bratislava,49035.0,105956.0,19430.8,5460.0,90979.0,90050.0,4.0,73.7,80.8,77.25
Slovenia,Ljubljana,20273.0,54034.0,26005.1,2079.0,38179.0,37557.0,4.1,78.2,83.8,81.0
Spain,Madrid,505944.0,1419735.0,30405.8,46755.0,375485.0,337215.0,2.4,80.6,86.0,83.3
Sweden,Stockholm,438574.0,556086.0,55766.8,10099.0,158710.0,160538.0,2.2,80.8,84.4,82.6
Switzerland,Bern,41291.0,705141.0,82708.5,8655.0,276292.0,313630.0,2.8,81.6,85.4,83.5
Trinidad And Tobago,Port Of Spain,5127.0,23808.0,17130.3,1400.0,1951.0,12336.0,-0.2,70.7,76.0,73.35
United Arab Emirates,Abu Dhabi,83600.0,414179.0,43005.0,9890.0,244712.0,412260.0,1.7,77.1,79.1,78.1
United Kingdom,London,242495.0,2855297.0,42526.4,67886.0,692580.0,468160.0,1.4,79.4,82.9,81.15
United States,"Washington, D.C.",9833517.0,20580223.0,62917.9,331003.0,2567490.0,1644280.0,2.9,76.3,81.3,78.8
Uruguay,Montevideo,173626.0,59597.0,17278.1,3474.0,8226.0,7886.0,1.6,73.9,81.3,77.6
